state,element left,element right,element up,element down
774,log,log,log,empty
775,log,log,log,water
776,log,log,log,car
777,log,log,log,log
778,log,log,log,lilypad
779,log,log,log,out-bounds
780,log,log,lilypad,empty
781,log,log,lilypad,water
782,log,log,lilypad,car
783,log,log,lilypad,log
784,log,log,lilypad,lilypad
785,log,log,lilypad,out-bounds
786,log,log,out-bounds,empty
787,log,log,out-bounds,water
788,log,log,out-bounds,car
789,log,log,out-bounds,log
790,log,log,out-bounds,lilypad
791,log,log,out-bounds,out-bounds
792,log,lilypad,empty,empty
793,log,lilypad,empty,water
794,log,lilypad,empty,car
795,log,lilypad,empty,log
796,log,lilypad,empty,lilypad
797,log,lilypad,empty,out-bounds
798,log,lilypad,water,empty
799,log,lilypad,water,water
800,log,lilypad,water,car
801,log,lilypad,water,log
802,log,lilypad,water,lilypad
803,log,lilypad,water,out-bounds
804,log,lilypad,car,empty
805,log,lilypad,car,water
806,log,lilypad,car,car
807,log,lilypad,car,log
808,log,lilypad,car,lilypad
809,log,lilypad,car,out-bounds
810,log,lilypad,log,empty
811,log,lilypad,log,water
812,log,lilypad,log,car
813,log,lilypad,log,log
814,log,lilypad,log,lilypad
815,log,lilypad,log,out-bounds
816,log,lilypad,lilypad,empty
817,log,lilypad,lilypad,water
818,log,lilypad,lilypad,car
819,log,lilypad,lilypad,log
820,log,lilypad,lilypad,lilypad
821,log,lilypad,lilypad,out-bounds
822,log,lilypad,out-bounds,empty
823,log,lilypad,out-bounds,water
824,log,lilypad,out-bounds,car
825,log,lilypad,out-bounds,log
826,log,lilypad,out-bounds,lilypad
827,log,lilypad,out-bounds,out-bounds
828,log,out-bounds,empty,empty
829,log,out-bounds,empty,water
830,log,out-bounds,empty,car
831,log,out-bounds,empty,log
832,log,out-bounds,empty,lilypad
833,log,out-bounds,empty,out-bounds
834,log,out-bounds,water,empty
835,log,out-bounds,water,water
836,log,out-bounds,water,car
837,log,out-bounds,water,log
838,log,out-bounds,water,lilypad
839,log,out-bounds,water,out-bounds
